zero + minus one =  answer=negative one 
minus two million, two hundred and thirty thousand, three hundred and ninety-eight + six million, six hundred and eighty-five thousand, one hundred and fifty-eight =  answer=seven billion, nine hundred and seventeen million, five hundred and forty-three. 
eight million, eight hundred and ninety-five thousand, three hundred and thirty-six + minus eight million, two hundred and seventy-seven thousand, five hundred and forty-four =  answer=one million, six hundred and twenty-eight thousand, seven hundred and sixty-two. 
minus seven million, four hundred and ninety-three thousand, six hundred and sixty-nine + seven million, eight hundred and ninety-four thousand, nine hundred and seventy-three =  answer=seven million, three hundred and ninety-one thousand, five hundred and forty-four. 
minus five million, three hundred and seventy-one thousand, three hundred and ninety-seven + eight million, four hundred and fifty-five thousand, one hundred and sixty-three =  answer=negative two billion, seven hundred and twenty-eight million, five hundred and thirty-two. 
seven million, two hundred and fifty thousand, five hundred and two + minus three million, three hundred and twenty-seven thousand, three hundred and sixty-five =  answer=forty-eight million, one hundred and seventeen thousand, eight hundred and thirty-five. 
nine million, nine hundred and fifty-one thousand, six hundred and thirty-five + minus two million, seven hundred and ninety-seven thousand, seven hundred and fifty-five =  answer=two billion, one hundred and seventy-three thousand, eight hundred and twenty-five. 
minus two million, eight hundred and sixty-two thousand, five hundred and sixty-five + seven million, nine hundred and thirty-seven thousand, two hundred and ninety-nine =  answer=minus one billion, three hundred and twenty-three million, six hundred and seventy-eight thousand, eight hundred and forty-four. 
one million, seven hundred and forty-three thousand, nine hundred and eighteen + minus two million, nine hundred and thirty-three thousand, six hundred and seventy-six =  answer=forty-seven million, three hundred and sixty-four thousand, five hundred and eighty-two. 
four million, nine hundred and forty-eight thousand, seven hundred and fourteen + minus five million, five hundred and seventy-one thousand, seven hundred and fifty-four =  answer=three million, three hundred and sixty-seven thousand, one hundred and ninety-six. 
minus two million, four hundred and forty thousand, five hundred and eighty + six million, six hundred and forty-nine thousand, eight hundred and seventy-nine =  answer=minus one billion, nine hundred and ninety-one million, seven hundred and sixty-eight thousand, three hundred and twenty-seven. 
minus five million, one hundred and forty-three thousand and seventy-two + seven million, two hundred and nine thousand, two hundred and thirty-six =  answer=seven million, three hundred and sixty-one thousand, four hundred and twenty-eight. 
minus two million, thirty-two thousand and sixty-nine + five million, four hundred and thirty-six thousand, two hundred and eighty-three =  answer=seven million, seven hundred and twenty-eight thousand, three hundred and ninety-four. 
minus three million, six hundred and sixty-five thousand, one hundred and eighty-four + eight million, five hundred and forty-four thousand, one hundred and seventy-six =  answer=eight million, zero hundred and twenty-one thousand, seven hundred and ninety-two. 
two million, nine hundred and seventy-seven thousand and forty + minus two million, six hundred and sixty-four thousand and seventy-eight =  answer=one million, three hundred and eighty-three thousand and twenty. 
five million, three hundred and eighty-nine thousand, eight hundred and seventy + minus eight million, nine hundred and eighty-six thousand, eight hundred and thirty-three =  answer=seven hundred and ninety-one thousand, seven hundred and twenty-seven. 
one million, four hundred and fifty-two thousand, three hundred and thirty-seven + minus eight million, two hundred and thirty-one thousand, two hundred and thirty-eight =  answer=twenty-three million, five hundred and seventeen thousand, seven hundred and sixty-nine. 
one million, seven hundred and ten thousand, five hundred and twenty-four + minus seven million, nine hundred and sixty-nine thousand, four hundred and forty-four =  answer=negative six billion, three hundred and seventy-one thousand, eight hundred and ninety-six. 
eight million, seven hundred and sixty-four thousand, nine hundred and twenty + minus seven million, four hundred and three thousand, four hundred and sixty-four =  answer=one billion, one hundred and seventy-seven million, two hundred and thirty-six. 
three million, six hundred and thirty-seven thousand, nine hundred and sixty-five + minus five million, three hundred and eighty-six thousand, six hundred and thirty-four =  answer=two million, two hundred and seventeen thousand, seven hundred and twenty-one. 
minus two million, three hundred and seventy-eight thousand, three hundred and twenty-five + five million, two hundred and ten thousand, three hundred and ninety-two =  answer=seven billion, six hundred and eighty-three million, seven hundred and forty-one. 
two million, seven hundred and eighty-seven thousand, two hundred and sixty-one + minus eight million, four hundred and thirty-five thousand, two hundred and twelve =  answer=two point zero zero zero zero zero one billion, three hundred and seventy-eight million, five hundred and twenty-nine. 
five million, two hundred and thirty-five thousand, one hundred and sixty-one + minus four million, ninety-one thousand, eight hundred and eighty-nine =  answer=two million, three hundred and twenty-four thousand, nine hundred and seventeen. 
eight million, eight hundred and twenty thousand, three hundred and ninety + minus one million, four hundred and forty-two thousand, eight hundred and eighty-eight =  answer=seven million, seven hundred and seventy-nine thousand, five hundred and nine. 
nine million, one hundred and twenty thousand, seven hundred and twenty + minus five million, three hundred and seventy-four thousand, nine hundred and twenty-six =  answer=three billion, eight hundred and forty-seven million, four hundred and ninety-eight. 
five million, two hundred and seventy thousand, eight hundred and fifty-four + minus one million, six hundred and twelve thousand, seven hundred and thirteen =  answer=three million, sixty-seven thousand, nine hundred and twenty-one. 
two million, two hundred and seventy-eight thousand, four hundred and ninety-six + minus two million, nine hundred and ninety-seven thousand, four hundred and thirty-one =  answer=twenty-five thousand, one hundred and eighty-nine. 
nine million, two hundred and eight thousand, five hundred and twenty-four + minus one million, three hundred and seventy-seven thousand, six hundred and twenty-one =  answer=eight million, four hundred and ninety-three thousand, seven hundred and forty-three. 
minus eight million, nine thousand, two hundred and fifty + five million, seven hundred and ninety-two thousand, one hundred and eight =  answer=seven billion, six million, three hundred and seventy-five thousand, four hundred and twenty-eight. 
minus four million, nine hundred and seventy thousand, six hundred and seventy-four + seven million, one hundred and eighty-nine thousand, six hundred and eighty-six =  answer=seven billion, one hundred and ninety-one million, five hundred and sixty-two thousand, two hundred and eighty-eight. 
minus two million, three hundred and seventy-eight thousand, nine hundred and ninety-five + five million, five hundred and forty-eight thousand, five hundred and three =  answer=two billion, eight hundred and twenty-three million, seven hundred and sixty-one. 
minus three million, five hundred and eighty-four thousand, one hundred and twenty-four + nine million, seven hundred and sixty-nine thousand, three hundred and eighty-eight =  answer=minus two million, four hundred and seventeen thousand, six hundred and ninety-six. 
minus nine million, seven hundred and two thousand, five hundred and nine + nine million, three hundred and sixteen thousand, two hundred and twenty-six =  answer=eight million, four hundred and eighty-three thousand, one hundred and ninety-seven. 
one million, two hundred thousand, nine hundred and seventy-three + minus three million, eight hundred and seventy-three thousand and forty-three =  answer=seven hundred and ninety-four thousand, seven hundred and thirty-seven. 
minus two million, six hundred and fifty-three thousand, nine hundred and sixty-three + five million, three hundred and three thousand, one hundred and one =  answer=seven billion, eighty-five million, four hundred and twenty-one. 
minus four million, one hundred and fifty-two thousand and thirty-three + nine million, three hundred and seventeen thousand, one hundred and eighty-six =  answer=four billion, two hundred and sixty-eight million, five hundred and twenty-nine thousand, four hundred and ten. 
nine million, eight hundred and thirty-nine thousand, five hundred and sixty + minus three million, eight hundred and fifty-one thousand, eight hundred and eighty-three =  answer=seven hundred and seventeen million, six hundred and twenty-eight thousand, seven hundred and forty-seven. 
minus four million, one hundred and four thousand and ninety-nine + three million, five hundred and thirty-eight thousand, six hundred and seventy-two =  answer=three billion, two hundred and eighty-one million, seven hundred and forty-seven. 
two million, three hundred and sixty-three thousand and nineteen + minus eight million, seven hundred and eighty-four thousand, eight hundred and sixty-three =  answer=one billion, one hundred and seventeen thousand, five hundred and twenty-six. 
four million, seven hundred and forty-seven thousand, nine hundred and eighty-three + minus three million, ninety-three thousand, four hundred and thirty-five =  answer=one billion, one hundred and seventeen million, six hundred and fifty-eight. 
five million, eight hundred and sixty-six thousand, three hundred + minus nine million, five hundred and sixty-four thousand, four hundred and twenty-two =  answer=three million, six hundred and ninety-eight thousand, one hundred and forty-one. 
nine million, one hundred and sixty-three thousand, eight hundred and four + minus two million, two hundred and sixty-nine thousand, three hundred and thirty-nine =  answer=seven million, five hundred and ninety-four thousand, seven hundred and twenty-one. 
minus one million, seven hundred and five thousand, four hundred and eight + six million, three hundred and fifty-four thousand, nine hundred and fifty-eight =  answer=one billion, two million, seventy-five thousand, four hundred and ninety-six. 
nine million, five hundred and ninety-five thousand, four hundred and forty-seven + minus eight million, seven hundred and fourteen thousand, two hundred and seventy-nine =  answer=one million, three hundred and sixty-three thousand, one hundred and twenty-eight. 
minus seven million, three hundred and five thousand, one hundred and eighty-two + three million, one hundred and eighty-three thousand, eight hundred and forty-four =  answer=one billion, four hundred and seventeen million, two hundred and ninety-seven thousand, nine hundred and twenty-eight. 
minus seven million, one hundred and twenty-four thousand, four hundred and seven + two million, seven hundred and five thousand, three hundred and sixty-eight =  answer=minus six million, eight hundred and seventy-five thousand, nine hundred and forty-seven. 
minus one million, five hundred and forty thousand, four hundred and forty-five + two million, nine hundred and twelve thousand, three hundred and fifty-eight =  answer=three billion, seven hundred and eighty-two million, six hundred and seventy-nine. 
minus four million, eight hundred and eighty-two thousand, nine hundred and forty-four + seven million, five hundred and forty-seven thousand, five hundred and seventy-three =  answer=negative three billion, one hundred and ninety-one million, two hundred and twenty-eight thousand, eight hundred and sixty-nine. 
three million, six hundred thousand, seven hundred and ninety-one + minus five million, one hundred and seventy-eight thousand, four hundred and eight =  answer=two point zero zero seven billion nine hundred and forty-three million two hundred and ten thousand. 
minus five million, eight hundred and fifty-seven thousand, six hundred and ninety-five + four million, eight hundred and eighty-five thousand, one hundred and forty =  answer=negative three billion, seven hundred and seventeen million, nine hundred and twenty. 
three million, two hundred and ninety-six thousand, eight hundred and eighty-three + minus eight million, five hundred and eighty-four thousand, two hundred and nine =  answer=one million, seven hundred and seventeen thousand, six hundred and eighty-seven. 
minus seven million, one hundred and thirty-four thousand, five hundred and twenty-two + two million, three hundred and forty-six thousand and nineteen =  answer=minus four million, eighty-seven thousand, nine hundred and seventeen. 
minus seven million, five hundred and forty-seven thousand, six hundred and twenty-two + eight million, seven hundred and ninety-one thousand, two hundred and sixty =  answer=negative three billion, one hundred and seventy-three million, nine hundred and thirty-nine thousand, four hundred and forty-seven. 
four million, one hundred and forty-eight thousand, six hundred and twenty-six + minus four million, nine hundred and fifty-two thousand, two hundred and nine =  answer=one million, three hundred and sixty-three thousand, eighty-seven. 
one million, seven hundred and sixty-two thousand, eight hundred and four + minus nine million, two hundred and forty-nine thousand, five hundred and seventy-one =  answer=seven hundred and ninety-three thousand, three hundred and twenty-five. 
minus six million, one hundred and fifty-seven thousand, one hundred and ninety-two + four million, six hundred and seventy-eight thousand and twenty-three =  answer=minus two million, three hundred and eighty-five thousand, nine hundred and sixty-nine. 
minus three million, nine hundred and forty-nine thousand, six hundred and forty-two + three million, eight hundred and eighty-six thousand, nine hundred and sixty-two =  answer=one million, one hundred and seventeen thousand, two hundred and twenty. 
five million, five hundred and thirty-seven thousand, nine hundred and fifty-two + minus four million, four hundred thousand, one hundred and ninety =  answer=one million, one hundred and eighty-five thousand, seven hundred and forty-nine. 
minus two million, five hundred and thirty-one thousand, five hundred and seventy-eight + five million, one hundred and nineteen thousand, two hundred and sixty-three =  answer=seven billion, six hundred and eighty-five million, seven hundred and forty-nine thousand, three hundred and twenty-one. 
minus eight million, three hundred and seventy-five thousand, four hundred and thirty-one + one million, three hundred and fifty-eight thousand, six hundred and ninety-two =  answer=minus seven million, five hundred and twenty-three thousand, two hundred and eighty-nine. 
one million, one hundred and ninety-three thousand, one hundred and eighty-three + minus four million, six hundred and thirty-seven thousand, one hundred and two =  answer=one billion, five hundred and seventeen thousand, nine hundred and ten. 
six million, three hundred and fifty-eight thousand, three hundred and seventeen + minus two million, three hundred and forty-one thousand, one hundred and ninety-one =  answer=four million, eighty-seven thousand, four hundred and seven. 
eight million, seven hundred and sixty thousand, eight hundred and fifty-nine + minus nine million, seven hundred and twenty-three thousand, five hundred and eighty-five =  answer=seven hundred and forty-one million, three hundred and seventeen thousand, two hundred and ninety-four. 
nine million, ninety-one thousand, three hundred and eighty-six + minus six million, six hundred and eighty-one thousand, three hundred and forty-one =  answer=three million, four hundred and seventeen. 
seven million, seven hundred and one thousand, two hundred and thirty-four + minus eight million, six hundred and fifty-eight thousand and sixty-eight =  answer=nine million, three hundred and seventy-three thousand, five hundred and twenty-six. 
minus two million, one hundred and ninety-three thousand, eight hundred and sixty-seven + eight million, seven hundred and eighty-nine thousand, seven hundred and twelve =  answer=minus six billion, three hundred and seventeen million, nine hundred and twenty-eight. 
seven million, four hundred and thirty-nine thousand, eight hundred and three + minus five million, three hundred and twenty-one thousand, eight hundred and seventy-seven =  answer=two million, one hundred and ten thousand, nine hundred and forty-three. 
minus six million, two hundred and one thousand and fifty-eight + six million, six hundred and fifty-eight thousand, seven hundred and four =  answer=seven million, eight hundred and ninety-one thousand, five hundred and forty-two. 
seven million, seven hundred and ninety-eight thousand, six hundred and sixty-two + minus five million, eight hundred and sixty thousand, one hundred and eighty-nine =  answer=one billion, nine hundred and seventeen thousand, four hundred and seventy-three. 
minus eight million, six hundred and fifty thousand, two hundred and five + one million, five hundred and fifty-three thousand, seven hundred and ninety-six =  answer=one billion, three hundred and seventy-eight million, four hundred and forty-nine thousand, nine hundred and eighty-seven. 
eight million, four hundred and fourteen thousand, three hundred and twenty + minus seven million, five thousand, eight hundred and thirteen =  answer=seven million, one hundred and forty-three thousand, two hundred and seventy-seven. 
minus two million, five hundred and thirty-one thousand and seventy-three + five million, four hundred and eighty-four thousand, seven hundred and seventy-two =  answer=seven billion, nine hundred and sixty-five million, one hundred and forty-eight thousand, three hundred and twenty-one. 
minus nine million, one hundred and eighty-five thousand, one hundred and sixty-three + six million, six hundred and four thousand, four hundred and twenty-four =  answer=seven billion, seven hundred and ninety-one million, three hundred and forty-eight. 
minus six million, four hundred and thirty-eight thousand, two hundred and twenty-six + two million, seven hundred and seventy thousand, one hundred and two =  answer=minus three million, eight hundred and forty-one thousand, nine hundred and ninety-four. 
two million, seven hundred and eighty-one thousand, four hundred and seventy-six + minus three million, two hundred and thirty-three thousand, seven hundred and thirty-nine =  answer=five hundred and forty-eight thousand, one hundred and twenty-seven. 
minus eight million, six hundred and ninety-eight thousand, nine hundred and thirty + six million, three hundred and seventy-three thousand, one hundred and forty-three =  answer=seven billion, five hundred and twenty-one million, seven hundred and sixty-nine thousand, four hundred and eighty-six. 
minus nine million, one hundred and twenty-five thousand, nine hundred and ten + six million, one hundred and forty-seven thousand, one hundred and ten =  answer=six billion, two hundred and seventy-two million, one hundred and thirty-three thousand, one hundred and ten. 
three million, three hundred and sixty-nine thousand, eight hundred and forty-four + minus eight million, nine hundred and eight thousand and twenty-nine =  answer=two point zero zero zero zero zero four billion, one hundred and seventy-one million, six hundred and ninety-three thousand, two hundred and thirty-seven. 
three million, seven hundred and sixty-five thousand, nine hundred and twenty-eight + minus four million, six hundred and eighty-six thousand, four hundred and sixteen =  answer=three billion, one hundred and seventy-one million, two hundred and ninety-two. 
minus eight million, two hundred and seventy-five thousand, eight hundred and fifteen + six million, five hundred and seventeen thousand, seven hundred and sixty-four =  answer=eight billion, one million, nine hundred and ninety-one thousand, four hundred and twenty-seven. 
minus nine million, four hundred and forty-four thousand, six hundred and sixty-nine + five million, seven hundred and twelve thousand and seventy-nine =  answer=forty-seven million, one hundred and eighty-three thousand, three hundred and ninety-one. 
nine million, three hundred and seventy thousand, six hundred and seventy-eight + minus two million, four hundred and eighty-six thousand, two hundred and sixty-seven =  answer= seven hundred and ninety-three million, one hundred and twenty-one thousand, three hundred and forty-nine. 
three million, sixty-eight thousand, nine hundred and eighty + minus nine million, four hundred and forty thousand and sixty-one =  answer=seven million, two hundred and twenty-nine thousand, six hundred and seventy-nine. 
seven million, two hundred and thirty-two thousand, five hundred and nineteen + minus four million, five hundred and seventy-nine thousand, three hundred and fifty-five =  answer=twenty-seven million, six hundred and eighty-three thousand, one hundred and forty-four. 
six million, six hundred and seventy-six thousand, nine hundred and sixty-eight + minus eight million, eight hundred and seventy thousand, nine hundred and ninety-seven =  answer=one billion, one hundred and ten thousand, seven hundred and twenty-two. 
six million, sixty-seven thousand, two hundred and forty-nine + minus nine million, two hundred and seventy-two thousand, one hundred and thirty-four =  answer=forty-three million, four hundred and twenty-eight thousand, five hundred and sixty-five. 
minus six million, three hundred and forty-one thousand, four hundred and seventy-eight + one million, six hundred and eighty-nine thousand, one hundred and seventeen =  answer=seven billion, nine hundred and sixty-three million, seven hundred and twenty-five thousand, five hundred and ninety-one. 
minus one million, six hundred and thirty-one thousand, four hundred and ninety-four + two million, one hundred and five thousand, seven hundred and seventy-four =  answer=three billion, eight hundred and sixty-five million, nine hundred and forty-nine. 
nine million, nine hundred and twenty-one thousand, three hundred and thirty-five + minus six million, nine hundred and fifteen thousand, six hundred and thirty-four =  answer=three billion, seven hundred and eighty-six million, four hundred and seventy-one. 
two million, six hundred and ninety-two thousand, two hundred and thirty-nine + minus four million, one hundred and ninety-six thousand and twenty =  answer=one million, eighty-five thousand, three hundred and ten. 
minus nine million, eight hundred and thirty-one thousand, six hundred and ten + seven million, two hundred and thirty-four thousand, five hundred and thirty-two =  answer=eight billion, one hundred and seventy-five million, three hundred and forty-three thousand, nine hundred and twenty-two. 
minus one million, eight hundred and fourteen thousand, eight hundred and twelve + six million, one hundred and eighty-one thousand and sixty-nine =  answer=seven billion, nine hundred and seventeen million, seven hundred and twenty-three. 
three million, five hundred and sixty-nine thousand, seven hundred and twenty-eight + minus three million, one hundred and fifty-eight thousand, three hundred and six =  answer=two million, four hundred and ten thousand, nine hundred and ninety-two. 
minus seven million, two hundred and nineteen thousand, seven hundred and thirty-one + two million, nine hundred thousand, five hundred and eleven =  answer=minus four million, three hundred and seventy-nine thousand, one hundred and twenty-eight. 
five million, five hundred and fifty-seven thousand, two hundred and thirty + minus two million, seven hundred and twenty-five thousand, three hundred and ninety-eight =  answer=two billion, eighty-three million, one hundred and seventeen thousand, nine hundred and forty-one. 
one million, five hundred and twenty-two thousand, five hundred and seventy-three + minus three million, eighty-seven thousand, eight hundred and ninety-two =  answer=twenty-five thousand, six hundred and forty-one. 
four million, five hundred and forty-two thousand, eight hundred and seventy-three + minus five million, one hundred and fifty-four thousand, two hundred and fifty-seven =  answer=one billion, three hundred and ninety-eight million, seven hundred and twenty-six. 
four million, one hundred and seventy-six thousand, seven hundred and ninety-nine + minus three million, four hundred and seventy-one thousand, eight hundred and eighty-six =  answer=two million, two hundred and nine thousand, six hundred and ten. 
two million, two hundred and thirty-three thousand, one hundred and thirty-two + minus eight million, eight hundred and seventy-seven thousand, nine hundred and fifty-two =  answer=twenty-five million, five hundred and sixty-nine thousand, seven hundred and twenty. 
three million, two hundred and twelve thousand, four hundred and ninety-nine + minus eight million, eight hundred and fourteen thousand, eight hundred and thirteen =  answer=one million, one hundred and twenty-three thousand, six hundred and seventy-six. 
minus three million, three hundred and eighty-five thousand, nine hundred and thirty + six million, seventy-seven thousand, eight hundred and twenty-four =  answer=three billion, seven hundred and ninety-one million, one hundred and ten thousand, five hundred and forty-six. 
minus two million, three hundred and forty-eight thousand, eight hundred and thirty-three + five million, nine hundred and forty-seven thousand, five hundred and forty-two =  answer=minus one billion, four hundred and seventy-five million, seven hundred and sixty-nine. 
minus eight million, two hundred and thirty-seven thousand, one hundred and nineteen + nine million, four hundred and eighty thousand, seven hundred and ten =  answer=minus six million, three hundred and seventeen thousand, five hundred and twenty-one. 
five million, three hundred and fourteen thousand, two hundred and seventy-eight + minus nine million, three hundred and ninety-one thousand, four hundred and ninety-eight =  answer=two million, seven hundred and forty-nine thousand, one hundred and twenty-seven. 
six million, eight hundred and fifty-five thousand, two hundred and nineteen + minus six million, seven hundred and fifty-three thousand, four hundred and seventy-three =  answer=one million, three hundred and twenty-two thousand, nine hundred and seventeen. 
seven million, four hundred and forty-two thousand, four hundred and forty-five + minus one million, nine hundred and seventy-nine thousand, three hundred and two =  answer=six billion, five hundred and sixty-three thousand, six hundred and eight. 
three million, three hundred and ninety-six thousand, seven hundred and forty-four + minus six million, one hundred and three thousand, two hundred and seventy-six =  answer=seven hundred and sixty-eight million, four hundred and twenty. 
minus eight million, eight hundred and seventy-five thousand, one hundred and ninety-three + one million, eight hundred and ninety-two thousand, five hundred and thirty-one =  answer= nine billion, seven hundred and twenty-seven million, three hundred and sixty-four thousand, six hundred and seventy-five. 
minus four million, six hundred and seventy-seven thousand, two hundred and fifty-seven + three million, twenty-two thousand, nine hundred and twenty-one =  answer=minus one billion, five hundred and eighty-five million, seven hundred and forty-three thousand, six hundred and seventy-eight. 
eight million, twenty-two thousand, six hundred and eighty-three + minus eight million, one hundred and forty-four thousand, nine hundred and six =  answer=seven million, seven hundred and seventeen thousand, five hundred and ninety-seven. 
five million, nine hundred and thirty-four thousand, nine hundred and thirty-five + minus three million, four hundred and twenty-five thousand, five hundred and twenty-nine =  answer=two billion, seven hundred and seventy-one thousand, one hundred and eight. 
minus nine million, two hundred and ninety-six thousand, four hundred and sixty-four + two million, one hundred and thirty-six thousand, one hundred and twenty-four =  answer=minus seven million, three hundred and seventy-three thousand, six hundred and forty. 
two million, nine hundred and ninety thousand, nine hundred and nineteen + minus seven million, two hundred and fifty-seven thousand, seven hundred and nineteen =  answer=twenty-two million, six hundred and seventy-three thousand, one hundred and eighty-one. 
eight million, three hundred and seventy-four thousand, one hundred and seventy-six + minus four million, six hundred and thirty-nine thousand, one hundred and fifty-six =  answer=two million, seven hundred and twenty-five thousand, nine hundred and ninety-one. 
eight million, one hundred and forty thousand and one + minus seven million, six hundred and ninety-eight thousand, three hundred and forty-two =  answer=seven million, four hundred and ten thousand, two hundred and fifty-nine. 
minus three million, seven hundred and two thousand, two hundred and sixty-eight + eight million, six hundred and fifty-six thousand, three hundred and forty-eight =  answer=five billion, one hundred and seventy-one million, five hundred and twenty-two thousand, nine hundred and ninety-three. 
six million, seven hundred and forty-two thousand, two hundred and seventy-six + minus eight million, fifty-six thousand, eight hundred and nineteen =  answer=seven billion, one hundred and sixty-five million, five hundred and twenty-one. 
six million, four hundred and eight thousand, nine hundred and sixty-seven + minus six million, nine hundred and four thousand, six hundred and twenty-eight =  answer=one million, five hundred and seventy-nine thousand, three hundred and thirty-nine. 
nine million, five hundred and ninety-two thousand, two hundred and seventy-eight + minus six million, nine hundred and eight thousand, five hundred and seventeen =  answer=three billion, seven hundred and twenty-one thousand, one hundred and sixty-nine. 
minus seven million, two hundred and forty-eight thousand, nine hundred and eighty-one + four million, three hundred and twenty-four thousand, four hundred and twenty-six =  answer=three billion, five hundred and seventeen million, one hundred and ninety-seven thousand, two hundred and forty-eight. 
two million, three hundred and twenty-five thousand, five hundred and forty-six + minus two million, four hundred and thirty thousand, nine hundred and ten =  answer=two hundred and ninety-five thousand, one hundred and forty-six. 
minus nine million, three hundred and forty-five thousand, three hundred and sixty-five + three million, nine hundred and ninety-seven thousand, eight hundred and ninety-seven =  answer=minus five million, four hundred and seventy-three thousand, seven hundred and thirty-eight. 
minus seven million, eight hundred and nine thousand, six hundred and eighteen + three million, two hundred and thirteen thousand, six hundred and seventy-seven =  answer=minus four million, five hundred and ninety-three thousand, one hundred and twenty-eight. 
minus four million, five hundred and forty-five thousand, one hundred and twenty-four + seven million, four hundred and forty-two thousand, four hundred and eighty-five =  answer=three billion, nine hundred and seventeen million, six hundred and sixty-seven. 
minus four million, seven thousand, seven hundred and eleven + seven million, nine hundred and seventy-two thousand, three hundred and twenty-two =  answer=three billion, six million, eight hundred and ninety-nine. 
minus nine million, five hundred and eighty-five thousand, four hundred and twenty-three + five million, nine hundred and thirteen thousand, seven hundred and sixty-six =  answer=forty-seven million, three hundred and seventeen thousand, one hundred and ninety-nine. 
minus two million, forty-four thousand, four hundred and seventeen + five million, four hundred and sixty thousand, five hundred and eighty =  answer=minus one million, three hundred and ninety-one thousand, six hundred and twenty. 
three million, two hundred and sixty-nine thousand, three hundred and sixty-nine + minus one million, nine hundred and forty-seven thousand, six hundred and ninety-one =  answer=two million, seventy-three thousand, seven hundred and thirty-eight. 
eight million, nine hundred and fifty thousand, seven hundred and thirty-six + minus eight million, three hundred and forty-five thousand, five hundred and seventy-one =  answer=seven hundred and ten thousand, one hundred and twenty-nine. 
minus two million, one hundred and four thousand, two hundred and thirty-five + seven million, eight hundred and fifty-nine thousand, seven hundred and two =  answer=seven billion, nine hundred and seventy-four million, five hundred and twenty-two. 
four million, five hundred and forty-nine thousand, five hundred and twenty-six + minus nine million, eight hundred and twenty-one thousand, eight hundred and sixteen =  answer=three billion, seven hundred and seventy-eight million, two hundred and ninety-four thousand, three hundred and four. 
three million, three hundred and fifty-two thousand, five hundred and eighteen + minus one million, three hundred and sixty-one thousand and twenty-nine =  answer= two million, three hundred and eighty-three thousand, four hundred and seventeen. 
four million, five hundred and eighty-six thousand, eight hundred and thirty-nine + minus nine million, two hundred and fifty-five thousand, five hundred and thirty-five =  answer=three million, three hundred and twenty-one thousand, six hundred and seventy-four. 
minus one million, eight hundred and thirty thousand, four hundred and forty-nine + one million, one hundred and twenty-five thousand, two hundred and twenty-three =  answer=one billion, nine hundred and fifty-four thousand, six hundred and seventy-two. 
one million, five hundred and thirty-two thousand, four hundred and sixty + minus one million, six hundred and sixty-three thousand, eight hundred and sixty-three =  answer=one million, nine hundred and twenty-nine thousand, two hundred and ninety-seven. 
eight million, seven hundred and forty-nine thousand and ninety-seven + minus eight million, nine hundred and fifty thousand, seven hundred and ten =  answer= seventy-four thousand, two hundred and ninety-seven. 
seven million, nine hundred and fifty-two thousand, five hundred and twenty-two + minus one million, eighty-three thousand, seven hundred and seventy-five =  answer=six billion, two hundred and sixty-nine million, six hundred and forty-seven. 
minus two million, four hundred and ninety-four thousand, four hundred and ninety-one + six million, four hundred and twenty-nine thousand, nine hundred and eighty-six =  answer=minus one billion, three hundred and seventeen million, five hundred and forty-three. 
four million, seven hundred and sixty-eight thousand, two hundred and fifty-one + minus four million, nine hundred and thirty-seven thousand, one hundred and eighty-two =  answer=twenty-nine million, five hundred and twenty-three thousand, seven hundred and sixty-eight. 
minus two million, five hundred thousand, two hundred and ninety-eight + two million, five hundred and thirty thousand, five hundred and twelve =  answer=seven million, one hundred and twenty-nine thousand, seven hundred and eighty. 
minus three million, six hundred and thirty-eight thousand, two hundred and two + nine million, three hundred and seventy-five thousand, nine hundred and ninety-six =  answer=minus one point five million, eight hundred and forty-one thousand, seven hundred and twenty-three. 
nine million, eight hundred and twenty-four thousand, five hundred and two + minus eight million, two hundred and forty-eight thousand, one hundred and twelve =  answer=one billion, six hundred and seventy-six million, three hundred and four. 
minus six million, three hundred and five thousand and forty-five + one million, one hundred and ninety-six thousand, six hundred and twenty-four =  answer=seven billion, four hundred and eighty-one million, seven hundred and seventeen thousand, two hundred and sixty-nine. 
seven million, five hundred and twenty thousand, two hundred and forty-seven + minus eight million, eight hundred and thirty-eight thousand, nine hundred and seventy-seven =  answer=one billion, one hundred and ninety-three million, six hundred and sixty-nine thousand, four hundred and twenty-four. 
