2 =  factors = [1, 2] 
26041 =  factors = [1, 2, 3, 4, 6, 9, 18, 27, 54, 81, 26041] 
26053 =  factors = [1, 3, 9, 17, 24, 27, 81, 243, 26053] 
26099 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26107 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26111 =  factors = [1, 3, 7, 21, 29, 47, 83, 26111] 
26119 =  factors = [1, 3, 7, 21, 43, 109, 26119] 
26171 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26177 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26189 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26203 =  factors = [1, 79, 26203] 
26227 =  factors = [1, 3, 9, 27, 81, 243, 26227] 
26251 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26263 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26267 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26293 =  factors = [1, 7, 49, 26293] 
26321 =  factors = [1, 79, 263, 1849, 26321] 
26339 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26387 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26399 =  factors = [1, 3, 9, 27, 81, 243, 857] 
26423 =  factors = [1, 79, 263, 26423] 
26449 =  factors = [1, 7, 49, 26449] 
26459 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26479 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26497 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26501 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26513 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26539 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26557 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26573 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26633 =  factors = [1, 3, 9, 10, 17, 23, 29, 33, 51, 87, 26633] 
26647 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26669 =  factors = [1, 3, 9, 10, 19, 38, 57, 95, 190, 26669] 
26687 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26699 =  factors = [1, 3, 9, 27, 81, 243, 26699] 
26713 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26731 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26737 =  factors = [1, 3, 9, 27, 81, 243, 859] 
26777 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26783 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26801 =  factors = [1, 7, 49, 349, 26801] 
26813 =  factors = [1, 7, 49, 26813] 
26821 =  factors = [1, 7, 49, 26821] 
26849 =  factors = [1, 7, 49, 26849] 
26879 =  factors = [1, 3, 9, 27, 33, 81, 243, 26879] 
26893 =  factors = [1, 3, 9, 27, 33, 81, 243, 26893] 
26921 =  factors = [1, 7, 49, 349, 26921] 
26947 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26959 =  factors = [1, 3, 9, 27, 81, 243, 729] 
26981 =  factors = [1, 7, 49, 349, 26981] 
26987 =  factors = [1, 3, 9, 27, 33, 81, 243, 26987] 
26993 =  factors = [1, 3, 9, 27, 81, 243, 26993] 
27031 =  factors = [1, 3, 9, 27, 33, 81, 243, 27031] 
27061 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 27061] 
27077 =  factors = [1, 3, 9, 27, 33, 81, 243, 859, 27077] 
27107 =  factors = [1, 3, 9, 27, 33, 99, 271, 819] 
27127 =  factors = [1, 3, 9, 27, 81, 243, 729, 27127] 
27143 =  factors = [1, 3, 9, 109, 327, 983, 27143] 
27179 =  factors = [1, 3, 61, 183, 27179] 
27191 =  factors = [1, 3, 61, 27191] 
27197 =  factors = [1, 3, 61, 27197] 
27211 =  factors = [1, 3, 9, 27, 63, 27211] 
27241 =  factors = [1, 2, 3, 6, 9, 18, 27, 36, 54, 81, 27241] 
27281 =  factors = [1, 2, 3, 4, 6, 9, 12, 18, 27, 36, 54, 81, 27281] 
27283 =  factors = [1, 2, 3, 4, 6, 9, 18, 27, 54, 81, 27283] 
27337 =  factors = [1, 3, 9, 27, 33, 81, 2461] 
27361 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27367 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27409 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 27409] 
27431 =  factors = [1, 3, 9, 27, 81, 243, 859] 
27449 =  factors = [1, 2, 3, 6, 9, 18, 27, 36, 54, 81, 27449] 
27457 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27479 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27487 =  factors = [1, 3, 9, 27, 33, 81, 243, 27487] 
27529 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27581 =  factors = [1, 3, 9, 27, 53, 161, 27581] 
27583 =  factors = [1, 3, 9, 27, 51, 163, 27583] 
27611 =  factors = [1, 3, 9, 27, 81, 243, 859] 
27691 =  factors = [1, 3, 9, 27, 81, 243, 27691] 
27697 =  factors = [1, 3, 9, 27, 81, 243, 27697] 
27733 =  factors = [3, 9, 13, 27, 33, 99, 277] 
27739 =  factors = [1, 3, 9, 27, 81, 243, 859] 
27767 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27799 =  factors = [1, 3, 9, 27, 81, 243, 729, 27799] 
27847 =  factors = [1, 3, 9, 27, 33, 81, 243, 27847] 
27851 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27919 =  factors = [1, 3, 61, 183, 27919] 
27943 =  factors = [1, 3, 9, 27, 81, 243, 27943] 
27953 =  factors = [1, 3, 9, 27, 81, 243, 729] 
27983 =  factors = [1, 3, 9, 27, 279, 83, 27983] 
27997 =  factors = [1, 3, 69, 27997] 
28001 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28019 =  factors = [1, 3, 67, 28019] 
28027 =  factors = [1, 3, 9, 27, 81, 243, 28027] 
28051 =  factors = [1, 3, 9, 27, 81, 243, 869] 
28057 =  factors = [1, 3, 9, 27, 81, 243, 869] 
28069 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28087 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28097 =  factors = [1, 3, 9, 27, 81, 243, 619, 28097] 
28099 =  factors = [1, 3, 9, 27, 28099] 
28109 =  factors = [1, 3, 9, 27, 33, 28109] 
28123 =  factors = [1, 3, 9, 27, 81, 243, 28123] 
28181 =  factors = [1, 3, 9, 27, 81, 243, 28181] 
28229 =  factors = [1, 3, 9, 27, 28229] 
28277 =  factors = [1, 3, 9, 27, 28277] 
28283 =  factors = [1, 3, 9, 27, 81, 243, 28283] 
28297 =  factors = [1, 3, 643, 28297] 
28307 =  factors = [1, 3, 9, 27, 33, 28307] 
28309 =  factors = [1, 3, 9, 27, 28309] 
28349 =  factors = [1, 7, 49, 28349] 
28387 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28393 =  factors = [1, 3, 9, 27, 28393] 
28403 =  factors = [1, 79, 263, 28403] 
28429 =  factors = [1, 7, 49, 67, 28429] 
28433 =  factors = [1, 79, 28433] 
28447 =  factors = [1, 3, 9, 27, 33, 81, 246, 28447] 
28477 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28517 =  factors = [1, 3, 9, 27, 81, 243, 869] 
28541 =  factors = [1, 3, 9, 27, 81, 243, 619] 
28559 =  factors = [1, 3, 9, 27, 82, 246, 28559] 
28571 =  factors = [1, 3, 9, 27, 81, 243, 729] 
28591 =  factors = [1, 3, 67, 28591] 
28603 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28607 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28643 =  factors = [1, 79, 28643] 
28657 =  factors = [1, 3, 9, 27, 81, 243, 829] 
28661 =  factors = [1, 3, 9, 19, 27, 54, 81, 28661] 
28663 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 28663] 
28669 =  factors = [1, 3, 9, 109, 28669] 
28697 =  factors = [1, 3, 9, 27, 28697] 
28729 =  factors = [1, 3, 9, 27, 81, 243, 287] 
28759 =  factors = [1, 3, 9, 27, 81, 243, 729] 
28771 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28793 =  factors = [1, 3, 9, 27, 81, 243, 28793] 
28807 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28813 =  factors = [1, 79, 233, 28813] 
28817 =  factors = [1, 3, 9, 27, 81, 243, 859] 
28837 =  factors = [1, 3, 9, 27, 81, 243, 850] 
28843 =  factors = [1, 79, 28843] 
28859 =  factors = [1, 3, 9, 27, 81, 243, 729] 
28867 =  factors = [1, 2, 3, 4, 6, 9, 18, 27, 54, 81, 28867] 
28879 =  factors = [1, 3, 9, 27, 81, 243, 28879] 
28901 =  factors = [1, 3, 9, 27, 289] 
28927 =  factors = [1, 3, 9, 27, 289, 833, 2541, 28927] 
28933 =  factors = [1, 3, 9, 27, 28933] 
28949 =  factors = [1, 7, 49, 67, 28949] 
28979 =  factors = [1, 3, 9, 27, 28979] 
29009 =  factors = [1, 3, 9, 27, 81, 243, 29009] 
29017 =  factors = [1, 3, 61, 183, 29017] 
29023 =  factors = [1, 3, 9, 27, 81, 243, 29023] 
29033 =  factors = [1, 3, 9, 17, 29, 33, 51, 87, 29033] 
29059 =  factors = [1, 3, 9, 27, 81, 243, 729] 
29101 =  factors = [1, 3, 7, 21, 43, 169, 291] 
29129 =  factors = [1, 3, 9, 27, 81, 243, 29129] 
29153 =  factors = [1, 3, 5, 17, 29, 41, 63, 85, 109, 175, 291] 
29201 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192] 
29207 =  factors = [1, 3, 9, 27, 81, 243, 613, 29207] 
29221 =  factors = [1, 7, 49, 29221] 
29231 =  factors = [1, 7, 49, 29231] 
29287 =  factors = [1, 3, 9, 27, 81, 243, 29287] 
29303 =  factors = [1, 3, 9, 27, 81, 243, 293] 
29333 =  factors = [1, 3, 9, 27, 81, 243, 2933] 
29339 =  factors = [1, 3, 9, 27, 81, 243, 293] 
29347 =  factors = [1, 3, 9, 27, 81, 29347] 
29363 =  factors = [1, 7, 49, 349, 29363] 
29387 =  factors = [1, 3, 9, 27, 81, 243, 29387] 
29411 =  factors = [1, 7, 11, 13, 17, 23, 29, 37, 43, 53, 61, 73, 83, 97] 
29423 =  factors = [1, 7, 49, 29423] 
29437 =  factors = [1, 3, 9, 27, 81, 29437] 
29453 =  factors = [1, 3, 9, 17, 29, 38, 56, 87, 29453] 
29483 =  factors = [1, 7, 29, 43, 163, 29483] 
29501 =  factors = [1, 3, 9, 27, 81, 243, 729] 
29527 =  factors = [1, 3, 9, 27, 81, 243, 29527] 
29537 =  factors = [1, 3, 29, 87, 29537] 
29569 =  factors = [1, 7, 49, 58, 29569] 
29573 =  factors = [1, 3, 9, 27, 81, 243, 729] 
29581 =  factors = [1, 3, 7, 21, 49, 163, 29581] 
29599 =  factors = [1, 3, 9, 27, 81, 243, 29599] 
29629 =  factors = [1, 2, 4, 7, 14, 28, 37, 56, 74, 109, 154, 218, 296] 
29663 =  factors = [1, 2, 4, 7, 14, 28, 56, 104, 29663] 
29717 =  factors = [1, 3, 61, 183, 29717] 
29741 =  factors = [1, 3, 9, 27, 81, 243, 619] 
29753 =  factors = [1, 3, 5, 17, 29, 41, 63, 85, 109, 173, 297] 
29759 =  factors = [1, 3, 9, 27, 81, 243, 729] 
29761 =  factors = [1, 3, 9, 27, 81, 243, 29761] 
29837 =  factors = [1, 3, 6, 9, 17, 29, 34, 51, 82, 109, 163, 29837] 
29867 =  factors = [1, 2, 3, 4, 6, 9, 18, 27, 54, 81, 29867] 
29873 =  factors = [1, 3, 9, 27, 81, 2461, 29873] 
29879 =  factors = [1, 3, 9, 27, 29879] 
29917 =  factors = [1, 3, 61, 183, 29917] 
29959 =  factors = [1, 3, 9, 27, 81, 243, 729] 
29989 =  factors = [1, 7, 49, 67, 29989] 
30011 =  factors = [1, 3, 9, 27, 81, 243, 613] 
30029 =  factors = [1, 7, 49, 30029] 
30047 =  factors = [1, 2, 3, 6, 9, 18, 30047] 
30089 =  factors = [1, 2, 4, 7, 14, 28, 56, 30089] 
30109 =  factors = [1, 3, 9, 27, 30109] 
30133 =  factors = [1, 3, 9, 27, 30133] 
30139 =  factors = [1, 3, 9, 27, 30139] 
30181 =  factors = [1, 3, 9, 27, 30181] 
30197 =  factors = [1, 3, 29, 61, 97, 30197] 
30211 =  factors = [1, 3, 9, 27, 81, 243, 613] 
30223 =  factors = [1, 3, 9, 27, 81, 243, 619] 
30241 =  factors = [1, 2, 3, 6, 9, 18, 30, 37, 54, 98, 196, 392] 
30307 =  factors = [3, 9, 27, 30307] 
30313 =  factors = [1, 3, 9, 27, 30313] 
30389 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 111, 30389] 
30403 =  factors = [29, 3, 67, 189, 30403] 
30427 =  factors = [1, 3, 9, 27, 81, 243, 30427] 
30431 =  factors = [1, 79, 238, 30431] 
30449 =  factors = [2, 3, 6, 7, 18, 21, 42, 56, 84, 126, 30449] 
30469 =  factors = [2, 3, 6, 7, 18, 21, 30, 42, 56, 91, 139, 208, 314] 
30493 =  factors = [1, 7, 23, 30493] 
30497 =  factors = [1, 3, 29, 30497] 
30539 =  factors = [1, 3, 9, 27, 81, 243, 729] 
30577 =  factors = [1, 3, 29, 30577] 
30631 =  factors = [1, 3, 9, 27, 81, 243, 30631] 
30637 =  factors = [1, 3, 9, 27, 81, 243, 30637] 
30649 =  factors = [1, 2, 3, 4, 6, 7, 14, 21, 28, 42, 56, 84, 112, 140, 210, 280, 30649] 
30677 =  factors = [1, 3, 29, 30677] 
30689 =  factors = [1, 2, 4, 7, 14, 28, 30689] 
30703 =  factors = [1, 3, 9, 27, 30703] 
30707 =  factors = [1, 3, 9, 27, 81, 243, 729] 
30713 =  factors = [1, 3, 9, 27, 81, 243, 613] 
30727 =  factors = [1, 3, 9, 27, 81, 243, 729] 
30757 =  factors = [1, 3, 9, 27, 81, 243, 729] 
30773 =  factors = [1, 3, 9, 27, 81, 243, 729] 
30809 =  factors = [27, 43, 67, 83, 30809] 
30829 =  factors = [1, 7, 49, 30829] 
30839 =  factors = [1, 3, 9, 27, 30839] 
30853 =  factors = [1, 3, 9, 27, 30853] 
30859 =  factors = [1, 29, 59, 87, 143, 174, 346, 519] 
30869 =  factors = [1, 2, 3, 4, 6, 7, 9, 14, 21, 28, 35, 42, 56, 84, 109, 178, 210, 308] 
30871 =  factors = [1, 3, 9, 27, 30871] 
30881 =  factors = [1, 2, 4, 7, 14, 28, 30881] 
30931 =  factors = [1, 3, 9, 27, 30931] 
30937 =  factors = [1, 3, 29, 30937] 
30949 =  factors = [1, 7, 49, 30949] 
30971 =  factors = [1, 3, 269, 30971] 
31033 =  factors = [1, 3, 9, 27, 31033] 
31063 =  factors = [1, 2, 3, 4, 6, 9, 18, 31063] 
31081 =  factors = [1, 29, 47, 94, 190, 31081] 
31091 =  factors = [1, 3, 9, 27, 31091] 
31121 =  factors = [1, 3, 9, 19, 37, 63, 109, 324] 
31123 =  factors = [1, 3, 9, 17, 27, 33, 51, 87, 161, 31123] 
31147 =  factors = [1, 3, 9, 27, 81, 243, 619] 
31151 =  factors = [1, 3, 9, 27, 82, 246, 31151] 
31159 =  factors = [1, 3, 9, 27, 82, 246, 729] 
31177 =  factors = [1, 3, 9, 27, 82, 246, 729] 
31219 =  factors = [1, 3, 9, 19, 31, 63, 189, 31219] 
31249 =  factors = [1, 7, 49, 31249] 
31259 =  factors = [1, 3, 5, 17, 25, 43, 65, 85, 127, 175, 263, 31259] 
31271 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31277 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31319 =  factors = [1, 3, 9, 27, 31319] 
31321 =  factors = [1, 3, 9, 17, 27, 33, 51, 89, 31321] 
31337 =  factors = [1, 3, 9, 27, 31337] 
31379 =  factors = [1, 3, 9, 27, 31379] 
31387 =  factors = [1, 3, 9, 27, 31387] 
31391 =  factors = [1, 3, 9, 27, 31391] 
31469 =  factors = [1, 2, 3, 6, 9, 18, 31469] 
31477 =  factors = [1, 29, 31, 37, 78, 109, 218, 356, 547] 
31481 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 100, 174, 348, 525, 1097, 31481] 
31511 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31517 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31547 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31567 =  factors = [1, 2, 3, 4, 6, 9, 18, 31567] 
31627 =  factors = [1, 3, 9, 27, 81, 243, 31627] 
31643 =  factors = [1, 2, 3, 4, 6, 9, 18, 31643] 
31657 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31663 =  factors = [1, 2, 4, 8, 17, 34, 68, 105, 31663] 
31721 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31723 =  factors = [1, 3, 9, 13, 31, 37, 101, 337] 
31729 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31741 =  factors = [1, 29, 317, 634, 31741] 
31751 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31769 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31793 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31799 =  factors = [1, 3, 9, 27, 81, 243, 729] 
31817 =  factors = [1, 3, 9, 27, 31817] 
31957 =  factors = [1, 3, 29, 83, 2463, 31957] 
31973 =  factors = [1, 3, 9, 27, 83, 246, 31973] 
31981 =  factors = [1, 7, 49, 31981] 
32027 =  factors = [1, 3, 9, 27, 81, 243, 613] 
32029 =  factors = [1, 7, 49, 32029] 
32057 =  factors = [1, 3, 9, 27, 81, 243, 729] 
32059 =  factors = [1, 3, 5, 7, 19, 38, 57, 94, 173, 261, 342, 514] 
32063 =  factors = [1, 2, 3, 4, 6, 9, 18, 32, 57, 114, 32063] 
32069 =  factors = [1, 7, 49, 32069] 
32141 =  factors = [1, 7, 19, 38, 241, 32141] 
32143 =  factors = [1, 79, 3, 23, 47, 101, 269] 
32173 =  factors = [1, 3, 9, 27, 81, 243, 613] 
32191 =  factors = [1, 3, 67, 2083, 32191] 
32213 =  factors = [1, 3, 9, 10, 17, 27, 33, 54, 81, 169, 269, 3221] 
32237 =  factors = [1, 3, 9, 27, 32237] 
32257 =  factors = [1, 3, 9, 27, 82, 246, 735] 
32303 =  factors = [3, 9, 17, 27, 32303] 
32321 =  factors = [1, 3, 9, 27, 81, 243, 613] 
32323 =  factors = [1, 3, 9, 27, 32323] 
32327 =  factors = [1, 3, 9, 27, 32327] 
32341 =  factors = [1, 79, 323, 2189] 
32353 =  factors = [1, 3, 9, 27, 81, 243, 32353] 
32363 =  factors = [1, 79, 3, 48, 9, 23, 29, 57] 
32369 =  factors = [1, 7, 49, 32369] 
32371 =  factors = [1, 3, 9, 27, 32371] 
32377 =  factors = [1, 3, 9, 27, 32377] 
32401 =  factors = [1, 7, 49, 32401] 
32411 =  factors = [1, 3, 9, 27, 81, 243, 32411] 
32413 =  factors = [1, 79, 3, 23, 97, 4689] 
32429 =  factors = [1, 7, 49, 32429] 
32441 =  factors = [1, 7, 49, 32441] 
32479 =  factors = [1, 3, 9, 27, 81, 243, 729] 
32491 =  factors = [1, 7, 49, 32491] 
32497 =  factors = [1, 3, 9, 27, 81, 243, 32497] 
32503 =  factors = [1, 3, 9, 27, 81, 243, 729] 
32507 =  factors = [1, 3, 9, 27, 825, 32507] 
32533 =  factors = [1, 3, 9, 27, 81, 243, 32533] 
32561 =  factors = [1, 3, 9, 27, 81, 243, 729] 
32573 =  factors = [1, 3, 9, 27, 81, 243, 729] 
32603 =  factors = [1, 3, 9, 27, 83, 249, 857] 
32609 =  factors = [1, 7, 49, 32609] 
32611 =  factors = [1, 3, 9, 109, 327] 
32633 =  factors = [1, 3, 9, 32633] 
32687 =  factors = [1, 3, 9, 27, 32687] 
32707 =  factors = [1, 3, 9, 27, 32707] 
32713 =  factors = [1, 3, 9, 27, 81, 243, 32713] 
32717 =  factors = [1, 3, 9, 27, 83, 246, 327] 
32719 =  factors = [1, 3, 6, 9, 18, 27, 32719] 
32771 =  factors = [1, 3, 9, 27, 32771] 
32789 =  factors = [1, 3, 9, 27, 32789] 
32797 =  factors = [1, 3, 61, 32797] 
32803 =  factors = [1, 79, 3, 2647, 28, 14, 56, 21] 
32831 =  factors = [1, 7, 49, 32831] 
32839 =  factors = [1, 7, 49, 32839] 
32843 =  factors = [1, 7, 49, 32843] 
32909 =  factors = [1, 3, 9, 27, 32909] 
32911 =  factors = [1, 3, 7, 23, 43, 89, 267] 
32933 =  factors = [1, 3, 9, 32933] 
32941 =  factors = [1, 7, 49, 32941] 
32969 =  factors = [1, 7, 49, 32969] 
32983 =  factors = [1, 3, 9, 27, 32983] 
32993 =  factors = [1, 3, 9, 27, 32993] 
32999 =  factors = [1, 3, 9, 27, 329] 
33023 =  factors = [1, 3, 9, 17, 51, 163, 33023] 
33029 =  factors = [1, 7, 49, 33029] 
33037 =  factors = [1, 3, 9, 27, 33037] 
33071 =  factors = [1, 3, 9, 27, 33071] 
33073 =  factors = [1, 3, 9, 27, 33073] 
33091 =  factors = [1, 3, 9, 27, 33091] 
33113 =  factors = [1, 3, 9, 10, 11, 33, 37, 45, 69, 133, 33113] 
33151 =  factors = [1, 3, 9, 27, 81, 33151] 
33161 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 33161] 
33179 =  factors = [1, 3, 9, 27, 33179] 
33181 =  factors = [1, 29, 47, 94, 188, 33181] 
33191 =  factors = [1, 7, 47, 33191] 
33199 =  factors = [1, 2, 47, 94, 188, 33199] 
33203 =  factors = [1, 2, 4, 67, 134, 268, 536, 33203] 
33211 =  factors = [1, 3, 9, 27, 33, 321, 991] 
33223 =  factors = [1, 2, 3, 6, 9, 18, 33, 54, 72, 99, 108, 168, 207, 306, 332] 
33247 =  factors = [1, 2, 3, 6, 9, 18, 33, 54, 97, 194, 388, 582, 964, 1728, 3456, 5184, 8742] 
33311 =  factors = [1, 3, 9, 27, 33311] 
33343 =  factors = [1, 2, 3, 6, 9, 18, 33, 50, 72, 166, 333] 
33347 =  factors = [1, 29, 30, 33347] 
33349 =  factors = [1, 2, 3, 6, 7, 10, 14, 21, 33, 34, 42, 50, 68, 77, 91, 133, 154, 202, 266, 333] 
33377 =  factors = [1, 3, 9, 27, 33, 33377] 
33391 =  factors = [1, 3, 9, 27, 33391] 
33409 =  factors = [1, 2, 3, 6, 7, 9, 18, 27, 33, 54, 81, 162, 33409] 
33413 =  factors = [1, 7, 29, 33413] 
33427 =  factors = [1, 3, 9, 27, 33427] 
33487 =  factors = [1, 2, 3, 6, 9, 18, 33487] 
33493 =  factors = [1, 7, 23, 33493] 
33521 =  factors = [1, 7, 49, 335, 21]. 
33533 =  factors = [1, 3, 9, 27, 33, 39, 51, 87, 161, 33533] 
33547 =  factors = [1, 3, 9, 27, 33547] 
33569 =  factors = [1, 7, 49, 33569] 
33577 =  factors = [1, 3, 9, 27, 81, 243, 33577] 
33587 =  factors = [1, 29, 47, 94, 1903] 
33589 =  factors = [1, 2, 47, 94, 188, 376, 752, 33589] 
33613 =  factors = [1, 79, 237, 33613] 
33617 =  factors = [1, 3, 9, 27, 81, 243, 33617] 
33623 =  factors = [1, 79, 33623] 
33679 =  factors = [1, 3, 9, 27, 33679] 
33721 =  factors = [1, 3, 9, 27, 337, 33721] 
33739 =  factors = [1, 3, 9, 27, 33739] 
33749 =  factors = [1, 2, 3, 6, 9, 18, 33749] 
33751 =  factors = [1, 3, 9, 27, 81, 243, 729] 
33767 =  factors = [1, 29, 37, 43, 83, 109, 218, 359] 
33773 =  factors = [1, 3, 9, 27, 33773] 
33791 =  factors = [1, 3, 61, 943, 33791] 
33797 =  factors = [1, 3, 29, 33797] 
33809 =  factors = [1, 2, 4, 67, 134, 268, 536, 33809] 
33811 =  factors = [1, 7, 47, 33811] 
33851 =  factors = [1, 3, 9, 27, 33851] 
33857 =  factors = [1, 3, 9, 27, 33857] 
33871 =  factors = [1, 3, 9, 27, 33, 37, 101, 3387] 
33893 =  factors = [1, 3, 9, 27, 33893] 
33923 =  factors = [1, 7, 47, 339]. 
33961 =  factors = [1, 2, 4, 8, 17, 34, 68, 105, 33961] 
34031 =  factors = [1, 79, 237, 34031] 
34039 =  factors = [1, 7, 23, 34039] 
34061 =  factors = [1, 2, 3, 6, 9, 18, 34, 57, 171, 34061] 
34123 =  factors = [1, 3, 9, 17, 27, 33, 51, 87, 161, 341] 
34127 =  factors = [1, 3, 9, 27, 81, 243, 34127] 
34141 =  factors = [1, 2, 3, 6, 9, 18, 34141] 
34147 =  factors = [1, 3, 9, 27, 81, 243, 34147] 
34159 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34183 =  factors = [1, 3, 9, 27, 34183] 
34231 =  factors = [1, 3, 9, 27, 81, 243, 34231] 
34253 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34259 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34261 =  factors = [1, 2, 3, 6, 9, 18, 34, 57, 109, 174, 34261] 
34273 =  factors = [1, 3, 9, 27, 81, 243, 34273] 
34297 =  factors = [1, 3, 9, 27, 34297] 
34303 =  factors = [1, 3, 9, 27, 34303] 
34337 =  factors = [1, 3, 9, 27, 34337] 
34351 =  factors = [1, 3, 9, 27, 81, 243, 343] 
34367 =  factors = [1, 3, 9, 27, 33, 34367] 
34369 =  factors = [1, 7, 49, 343, 2489, 34369] 
34381 =  factors = [1, 79, 269, 34381] 
34403 =  factors = [1, 2, 3, 6, 9, 18, 34403] 
34429 =  factors = [1, 7, 49, 34429] 
34483 =  factors = [1, 2, 3, 4, 6, 9, 12, 18, 27, 36, 54, 81, 108, 162, 243, 324] 
34499 =  factors = [1, 7, 49, 34499] 
34501 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34537 =  factors = [1, 3, 9, 27, 81, 243, 34537] 
34543 =  factors = [1, 3, 9, 27, 81, 243, 34543] 
34549 =  factors = [1, 7, 49, 34549] 
34583 =  factors = [1, 3, 9, 27, 33, 39, 69, 87, 260, 34583] 
34589 =  factors = [1, 3, 9, 27, 33, 39, 51, 83, 169, 209, 34589] 
34603 =  factors = [1, 2, 3, 9, 18, 57, 174, 346] 
34631 =  factors = [1, 79, 238, 34631] 
34649 =  factors = [1, 2, 3, 4, 6, 7, 14, 28, 34649] 
34651 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34667 =  factors = [1, 2, 3, 6, 9, 18, 34, 51, 62, 93, 156, 209, 314, 478] 
34693 =  factors = [1, 3, 9, 27, 34693] 
34703 =  factors = [1, 3, 9, 27, 34703] 
34721 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34729 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34747 =  factors = [1, 3, 9, 27, 81, 243, 729] 
34759 =  factors = [1, 3, 29, 89, 2603, 34759] 
34781 =  factors = [1, 3, 9, 27, 33, 81, 243, 34781] 
34807 =  factors = [1, 29, 3, 6, 9, 13, 18, 27, 32, 54, 81, 162, 243, 34807] 
34843 =  factors = [1, 2, 3, 6, 9, 18, 34843] 
34847 =  factors = [1, 2, 3, 6, 9, 18, 34847] 
34849 =  factors = [1, 2, 4, 7, 14, 28, 34849] 
34871 =  factors = [1, 3, 9, 27, 34871] 
34897 =  factors = [1, 3, 29, 34897] 
34913 =  factors = [1, 3, 7, 23, 43, 89, 161, 349] 
34961 =  factors = [1, 7, 13, 29, 37, 43, 53, 79, 83, 109, 143, 211, 269, 349] 
34963 =  factors = [1, 7, 23, 34963] 
34981 =  factors = [1, 7, 49, 349, 24981] 
35023 =  factors = [1, 3, 9, 27, 81, 243, 729] 
35027 =  factors = [1, 3, 9, 27, 81, 243, 35027] 
